summary_line,timestamp,src_ip,dst_ip,ttl,length,protocol_num,protocol,src_port,dst_port,seq,ack,flags,window,protocol_info,security,qos,performance,summary
142.251.132.142:443 -> 192.168.0.5:56895 Proto: TCP,2025-05-11 21:48:17.914532,142.251.132.142,192.168.0.5,124,79,6,TCP,443,56895,2326967627,1748295278,"{'PSH': True, 'ACK': True}",9144,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 93, 'header_overhead': 40}",TCP 142.251.132.142:443 -> 192.168.0.5:56895 [PA]
192.168.0.5:56895 -> 142.251.132.142:443 Proto: TCP,2025-05-11 21:48:17.915534,192.168.0.5,142.251.132.142,128,1452,6,TCP,56895,443,1748295278,2326967666,{'ACK': True},4093,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 1466, 'header_overhead': 40}",TCP 192.168.0.5:56895 -> 142.251.132.142:443 [A]
192.168.0.5:56895 -> 142.251.132.142:443 Proto: TCP,2025-05-11 21:48:17.915534,192.168.0.5,142.251.132.142,128,1452,6,TCP,56895,443,1748296690,2326967666,{'ACK': True},4093,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 1466, 'header_overhead': 40}",TCP 192.168.0.5:56895 -> 142.251.132.142:443 [A]
192.168.0.5:56895 -> 142.251.132.142:443 Proto: TCP,2025-05-11 21:48:17.915534,192.168.0.5,142.251.132.142,128,1432,6,TCP,56895,443,1748298102,2326967666,"{'PSH': True, 'ACK': True}",4093,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 1446, 'header_overhead': 40}",TCP 192.168.0.5:56895 -> 142.251.132.142:443 [PA]
142.251.132.142:443 -> 192.168.0.5:56895 Proto: TCP,2025-05-11 21:48:17.917505,142.251.132.142,192.168.0.5,124,40,6,TCP,443,56895,2326967666,1748299494,{'ACK': True},9177,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 60, 'header_overhead': 40}",TCP 142.251.132.142:443 -> 192.168.0.5:56895 [A]
142.251.132.142:443 -> 192.168.0.5:56895 Proto: TCP,2025-05-11 21:48:18.005919,142.251.132.142,192.168.0.5,124,118,6,TCP,443,56895,2326967666,1748299494,"{'PSH': True, 'ACK': True}",9177,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 132, 'header_overhead': 40}",TCP 142.251.132.142:443 -> 192.168.0.5:56895 [PA]
142.251.132.142:443 -> 192.168.0.5:56895 Proto: TCP,2025-05-11 21:48:18.005919,142.251.132.142,192.168.0.5,124,1452,6,TCP,443,56895,2326967744,1748299494,"{'PSH': True, 'ACK': True}",9177,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 1466, 'header_overhead': 40}",TCP 142.251.132.142:443 -> 192.168.0.5:56895 [PA]
192.168.0.5:56895 -> 142.251.132.142:443 Proto: TCP,2025-05-11 21:48:18.005919,192.168.0.5,142.251.132.142,128,40,6,TCP,56895,443,1748299494,2326969156,{'ACK': True},4095,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 54, 'header_overhead': 40}",TCP 192.168.0.5:56895 -> 142.251.132.142:443 [A]
142.251.132.142:443 -> 192.168.0.5:56895 Proto: TCP,2025-05-11 21:48:18.005919,142.251.132.142,192.168.0.5,124,457,6,TCP,443,56895,2326969156,1748299494,"{'PSH': True, 'ACK': True}",9177,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 471, 'header_overhead': 40}",TCP 142.251.132.142:443 -> 192.168.0.5:56895 [PA]
142.251.132.142:443 -> 192.168.0.5:56895 Proto: TCP,2025-05-11 21:48:18.005919,142.251.132.142,192.168.0.5,124,71,6,TCP,443,56895,2326969573,1748299494,"{'PSH': True, 'ACK': True}",9177,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 85, 'header_overhead': 40}",TCP 142.251.132.142:443 -> 192.168.0.5:56895 [PA]
142.251.132.142:443 -> 192.168.0.5:56895 Proto: TCP,2025-05-11 21:48:18.007446,142.251.132.142,192.168.0.5,124,79,6,TCP,443,56895,2326969604,1748299494,"{'PSH': True, 'ACK': True}",9177,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 93, 'header_overhead': 40}",TCP 142.251.132.142:443 -> 192.168.0.5:56895 [PA]
192.168.0.5:56895 -> 142.251.132.142:443 Proto: TCP,2025-05-11 21:48:18.007446,192.168.0.5,142.251.132.142,128,79,6,TCP,56895,443,1748299494,2326969643,"{'PSH': True, 'ACK': True}",4094,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 93, 'header_overhead': 40}",TCP 192.168.0.5:56895 -> 142.251.132.142:443 [PA]
192.168.0.5:56895 -> 142.251.132.142:443 Proto: TCP,2025-05-11 21:48:18.008813,192.168.0.5,142.251.132.142,128,75,6,TCP,56895,443,1748299533,2326969643,"{'PSH': True, 'ACK': True}",4094,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 89, 'header_overhead': 40}",TCP 192.168.0.5:56895 -> 142.251.132.142:443 [PA]
142.251.132.142:443 -> 192.168.0.5:56895 Proto: TCP,2025-05-11 21:48:18.008813,142.251.132.142,192.168.0.5,124,40,6,TCP,443,56895,2326969643,1748299568,{'ACK': True},9177,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 60, 'header_overhead': 40}",TCP 142.251.132.142:443 -> 192.168.0.5:56895 [A]
192.168.0.5:57031 -> 104.208.16.91:443 Proto: TCP,2025-05-11 21:48:18.949972,192.168.0.5,104.208.16.91,128,153,6,TCP,57031,443,843459966,362324305,"{'PSH': True, 'ACK': True}",253,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 167, 'header_overhead': 40}",TCP 192.168.0.5:57031 -> 104.208.16.91:443 [PA]
